"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW5","MW5","FS26981244-MW5","BKY191","Measurement","Consultant, Professional","02/22/2018",,"02/22/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.08","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56806,-120.47265,,985,,"",973.92,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:09 AM,211646810
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW8","MW8","FS26981244-MW8","BKY187","Measurement","Consultant, Professional","12/19/2018",,"12/19/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.53","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5684,-120.47271,,985,,"",974.47,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:10 AM,211646836
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB757","LYV-MW-012","LYV-MW-012","BKB757","MEASUREMENT","WA Dept of Ecology","04/06/2022",12:10:00,"04/06/2022 12:10:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","13.16","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.3550420855496,-120.07242653447,824.18,824.18,,"",811.02,"",,"","Not Reviewed","","","",11/3/2022 2:00:51 PM,216104744
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW21","MW21","FS26981244-MW21","BLI549","Measurement","Consultant, Professional","12/05/2019",,"12/05/2019","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.11","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56762,-120.47276,,984,,"",973.89,"",,"VCCE0312","Not Reviewed","","","",2/18/2020 3:17:09 PM,211643549
"CD1906","Bay Chemical, Yakima, WA","CD1906-MW-13","MW-13","MW-13","","Measurement","Consultant, Professional","09/02/2020",10:52:00,"09/02/2020 10:52:00","D","","MP1","Groundwater","Water level in well (depth below top of well casing)","6.58","ft","","","Water level accurate to +/- 0.1ft","GWLMV","Groundwater level by calibrated electric tape measurement","",46.56451699,-120.4897428,1000,,3,"FT",996.42,"+/- 10 ft (3 m)",3.58,"","Not Reviewed","","","",12/10/2020 2:12:38 PM,213312094
"VCCE0441","Kellogs Korner, Midvale and Emerald Roads, Sunnyside, Washington. Voluntary Cleanup Program","CE0441-FMW-1","FMW-1","CE0441-FMW-1","BKX352","Measurement","Consultant, Professional","03/06/2019",,"03/06/2019","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.97","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.3019300009422,-120.020462,,706,,"",694.03,"",,"","Not Reviewed","","","",8/27/2019 3:18:59 PM,210335442
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW7","MW7","FS26981244-MW7","BKY190","Measurement","Consultant, Professional","09/25/2018",,"09/25/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.14","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56836,-120.47292,,986,,"",975.86,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:10 AM,211646828
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_YMW-1","YMW-1","FS469_YMW-1","","Measurement","Consultant, Professional","05/04/2021",,"05/04/2021","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.38","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5850320240951,-120.539993895226,,1089.05,,"",1076.67,"",,"","Not Reviewed","","","",6/3/2021 9:33:34 AM,214158918
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_VW-02","VW-02","VCCE0442 MONITORING WELL VW-02","","Measurement","Consultant, Professional","02/13/2017",,"02/13/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.99","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2557100009423,-119.90206,,805.53,,"",786.54,"",,"","Reviewed","","","",3/30/2017 2:40:08 PM,205911368
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_YMW-1","YMW-1","FS469_YMW-1","","Measurement","Consultant, Professional","02/15/2017",,"02/15/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.65","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5850320240951,-120.539993895226,,1089.05,,"",1077.4,"",,"","Not Reviewed","","","",4/25/2017 10:21:42 AM,206002345
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_SW-05","SW-05","VCCE0442 MONITORING WELL SW-05","","Measurement","Consultant, Professional","04/27/2016",11:15:00,"04/27/2016 11:15:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","16.24","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558600009423,-119.90179,,805.86,,"",789.62,"",,"","Reviewed","","","",6/16/2016 1:51:37 PM,204243297
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_16","KMW_16","FS469_KMW_16","","Measurement","Consultant, Professional","07/25/2016",,"07/25/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.14","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5846555555556,-120.538930555556,,1083.27,,"",1073.13,"",,"","Not Reviewed","","","",9/2/2016 12:16:32 PM,204756848
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_VW-01","VW-01","VCCE0442 MONITORING WELL VW-01","","Measurement","Consultant, Professional","05/16/2017",11:06:00,"05/16/2017 11:06:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","17.45","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556400009423,-119.90187,,805.61,,"",788.16,"",,"","Reviewed","","","",7/10/2017 12:12:00 PM,206363763
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MWG_2","MWG_2","FS469_MWG_2","","Measurement","Consultant, Professional","02/14/2017",,"02/14/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","9.15","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5845388888889,-120.5398,,1085.47,,"",1076.32,"",,"","Not Reviewed","","","",4/25/2017 10:21:42 AM,206002337
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_VW-01","VW-01","VCCE0442 MONITORING WELL VW-01","","Measurement","Consultant, Professional","08/17/2017",11:05:00,"08/17/2017 11:05:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","16.59","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556400009423,-119.90187,,805.61,,"",789.02,"",,"","Reviewed","","","",9/18/2017 12:26:16 PM,206592949
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MWG_3","MWG_3","FS469_MWG_3","","Measurement","Consultant, Professional","08/14/2017",,"08/14/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","5.81","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5847014301218,-120.540902175891,,1084.15,,"",1078.34,"",,"","Not Reviewed","","","",10/16/2017 3:46:02 PM,206703540
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-IW02","IW02","VCCE0304_IW02","","Measurement","Consultant, Professional","03/16/2016",,"03/16/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","16.72","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.608694445386,-120.530616666667,1098.81,1097.5,,"",1080.78,"+/- 10 ft (3 m)",,"","Not Reviewed","","","",4/29/2016 1:30:48 PM,203883528
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-03","MW-03","VCCE0442 MONITORING WELL MW-03","","Measurement","Consultant, Professional","01/06/2016",11:18:00,"01/06/2016 11:18:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","20.61","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558500009423,-119.90149,,808.59,,"",787.98,"",,"","Reviewed","","","",6/16/2016 1:57:18 PM,204243412
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MW_13","MW_13","FS469_MW_13","","Measurement","Consultant, Professional","08/16/2017",,"08/16/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.45","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5847055555556,-120.540158333333,,1091.88,,"",1079.43,"",,"","Not Reviewed","","","",10/16/2017 3:46:02 PM,206703537
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-07","MW-07","VCCE0442 MONITORING WELL MW-07","","Measurement","Consultant, Professional","02/13/2017",,"02/13/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","21.15","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2555700009423,-119.90227,,807.03,,"",785.88,"",,"","Reviewed","","","",3/30/2017 2:40:08 PM,205911361
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW9","MW9","FS26981244-MW9","BKY185","Measurement","Consultant, Professional","09/25/2018",,"09/25/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","8.31","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56866,-120.47305,,986,,"",977.69,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:10 AM,211646843
"VCCE0529","Hahn Motor Company","VCCE0529-MW6","VCCE0529-MW6","VCCE0529-MW6","","Measurement","Consultant, Professional","10/03/2022",11:20:00,"10/03/2022 11:20:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","15.57","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5878220009417,-120.497216,1040.06,1040.06,,"",1024.49,"",,"","Not Reviewed","","","",3/21/2023 8:03:36 AM,216850508
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_YMW-3","YMW-3","FS469_YMW-3","","Measurement","Consultant, Professional","05/04/2021",,"05/04/2021","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.62","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5851358740912,-120.540181562287,,1090.24,,"",1077.62,"",,"","Not Reviewed","","","",6/3/2021 9:33:34 AM,214158920
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_14","KMW_14","FS469_KMW_14","","Measurement","Consultant, Professional","11/05/2019",,"11/05/2019","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.3","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5844472222222,-120.538738888889,,1082.4,,"",1070.1,"",,"","Not Reviewed","","","",5/7/2020 3:58:12 PM,211972281
"FS20838","Monte De Sion Church","FS20838-7","GEI027-B7","FS20838_GEI027-B7","","Measurement","Consultant, Professional","05/26/2021",13:10:00,"05/26/2021 13:10:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","3.42","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.4293857439169,-120.313885888916,793,793,,"",789.58,"",,"","Not Reviewed","","","",8/2/2021 10:17:07 AM,214522372
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","PS-MW-2","LYV-PS-032","LYV-PS-032","","MEASUREMENT","WA Dept of Ecology","04/18/2022",11:42:00,"04/18/2022 11:42:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","19.26","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.28068,-120.0034,695,,2.5,"FT",678.24,"+/- 3 ft (1 m)",16.76,"","Not Reviewed","","","",11/3/2022 2:00:51 PM,216104894
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW12","MW12","FS26981244-MW12","BKL121","Measurement","Consultant, Professional","08/22/2019",,"08/22/2019","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","9.08","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56809,-120.47377,,987,,"",977.92,"",,"VCCE0312","Not Reviewed","","","",2/18/2020 3:17:09 PM,211643538
"FS20838","Monte De Sion Church","FS20838-3","GEI027-B3","FS20838_GEI027-B3","","Measurement","Consultant, Professional","05/26/2021",11:57:00,"05/26/2021 11:57:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","3.38","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.4293585028079,-120.313997026924,793,793,,"",789.62,"",,"","Not Reviewed","","","",8/2/2021 10:17:07 AM,214522368
"VCCE0435","Ameristar No 19 (Also known as Pik a Pop No 14, Tieton Station, Tieton Smoke Shop, Maid O Clover)","VCCE0435-MW12","MW12","VCCE0435-MW12","BJZ547","Measurement","Consultant, Professional","07/28/2017",12:41:00,"07/28/2017 12:41:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","13.21","ft","","","Water level accurate to +/- 0.01ft","GWLMB","Groundwater level by analog (mechanical) recorder","",46.59239,-120.55725,,1173,,"",1159.79,"",,"","Not Reviewed","","","",9/14/2018 10:30:26 AM,208173274
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","AHF830","LYV-PS-033","LYV-PS-033","AHF830","MEASUREMENT","WA Dept of Ecology","04/18/2022",13:00:00,"04/18/2022 13:00:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.75","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.28254,-120.00105,695,,2.5,"FT",678.75,"+/- 3 ft (1 m)",16.25,"","Not Reviewed","","","",11/3/2022 2:00:51 PM,216104900
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB732","LYV-MW-008","LYV-MW-008","BKB732","MEASUREMENT","WA Dept of Ecology","04/05/2022",13:42:00,"04/05/2022 13:42:00","","Field Replicate: LYV-QA-04","TOC1","Groundwater","Water level in well (depth below top of well casing)","99.59","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.3927035747902,-120.199317664237,889.82,889.82,,"",790.23,"",,"","Not Reviewed","","","",11/3/2022 2:00:51 PM,216104720
"VCCE0435","Ameristar No 19 (Also known as Pik a Pop No 14, Tieton Station, Tieton Smoke Shop, Maid O Clover)","VCCE0435-MW1","MW1","VCCE0435-MW1","","Measurement","Consultant, Professional","05/04/2018",14:46:00,"05/04/2018 14:46:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","13.18","ft","","","Water level accurate to +/- 0.01ft","GWLMB","Groundwater level by analog (mechanical) recorder","",46.59241,-120.55723,,1174,,"",1160.82,"",,"","Not Reviewed","","","",9/14/2018 10:30:26 AM,208173291
"VCCE0435","Ameristar No 19 (Also known as Pik a Pop No 14, Tieton Station, Tieton Smoke Shop, Maid O Clover)","VCCE0435-MW11","MW11","VCCE0435-MW11","BJZ546","Measurement","Consultant, Professional","08/14/2018",12:01:00,"08/14/2018 12:01:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","13.25","ft","","","Water level accurate to +/- 0.01ft","GWLMB","Groundwater level by analog (mechanical) recorder","",46.5924,-120.55722,,1173,,"",1159.75,"",,"","Not Reviewed","","","",9/14/2018 10:30:27 AM,208173305
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW20","MW20","FS26981244-MW20","BLI548","Measurement","Consultant, Professional","08/22/2019",,"08/22/2019","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.6","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56796,-120.47293,,985,,"",974.4,"",,"VCCE0312","Not Reviewed","","","",2/18/2020 3:17:09 PM,211643546
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB747","LYV-MW-006","LYV-MW-006","BKB747","MEASUREMENT","WA Dept of Ecology","01/18/2022",14:18:00,"01/18/2022 14:18:00","","Well observed dry upon arrival; No field readings taken; No Sample Taken; Depth shown is depth to bottom of well casing","TOC1","Groundwater","Water level in well (depth below top of well casing)","273.47","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.4336381752612,-120.21982837662,1204.67,1204.67,,"",931.2,"",,"","Not Reviewed","","","",4/29/2022 1:04:35 PM,215238560
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW7","MW7","FS26981244-MW7","BKY190","Measurement","Consultant, Professional","08/16/2017",,"08/16/2017","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.37","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.56836,-120.47292,,986,,"",975.63,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:10 AM,211646824
"FS26981244","Gearjammer Truck Plaza, Union Gap, WA","FS26981244-MW8","MW8","FS26981244-MW8","BKY187","Measurement","Consultant, Professional","02/21/2018",,"02/21/2018","W","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.02","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5684,-120.47271,,985,,"",973.98,"",,"VCCE0312","Not Reviewed","","","",2/20/2020 8:33:10 AM,211646833
"AODE11193","Remedial Investigation for Comet Trailer Corp Site, Facility No. 503","AODE11193_MW7","AODE11193_MW7","Former Comet Trailer Area Five MW7","BCB697","Measurement","Consultant, Professional","08/22/2016",07:01:00,"08/22/2016 07:01:00","M","","TOC1","Groundwater","Water level in well (depth below top of well casing)","5.56","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.6465736248944,-120.528455185176,,1096.63,,"",1091.07,"",,"","Reviewed","","","",3/6/2018 5:09:50 PM,207295752
"AODE11193","Remedial Investigation for Comet Trailer Corp Site, Facility No. 503","AODE11193_MW8","AODE11193_MW8","Former Comet Trailer Area Five MW8","BCB698","Measurement","Consultant, Professional","11/15/2016",10:17:00,"11/15/2016 10:17:00","M","","TOC1","Groundwater","Water level in well (depth below top of well casing)","7.39","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.6466339122983,-120.529265103952,,1099.26,,"",1091.87,"",,"","Reviewed","","","",3/6/2018 5:09:50 PM,207295757
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_5","KMW_5","FS469_KMW_5","","Measurement","Consultant, Professional","11/06/2018",,"11/06/2018","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","8.62","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5858,-120.539211111111,,1082.85,,"",1074.23,"",,"","Not Reviewed","","","",12/17/2018 1:10:26 PM,208624159
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MWG_2","MWG_2","FS469_MWG_2","","Measurement","Consultant, Professional","11/06/2018",,"11/06/2018","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","8.6","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5845388888889,-120.5398,,1085.47,,"",1076.87,"",,"","Not Reviewed","","","",12/17/2018 1:10:26 PM,208624165
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB737","LYV-MW-001","LYV-MW-001","BKB737","MEASUREMENT","WA Dept of Ecology","01/18/2022",08:54:00,"01/18/2022 08:54:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","86.2","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.4920687642608,-120.360808913282,,1036.7,,"",950.5,"",,"","Not Reviewed","","","",4/29/2022 1:04:33 PM,215238319
"VCCE0382","ARCO Minimart","VCCE0382_MW3","MW-3","MW3BBH665","BBH665","Measurement","Consultant, Professional","10/13/2016",,"10/13/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.40","ft","","","Water level accurate to +/- 0.01ft","GWLMV","Groundwater level by calibrated electric tape measurement","",46.5713333342751,-120.509861111111,,1032.52,-0.2,"FT",1022.12,"",10.6,"","Not Reviewed","","","",4/5/2017 2:29:10 PM,205948515
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_SW-06","SW-06","VCCE0442 MONITORING WELL SW-06","","Measurement","Consultant, Professional","01/06/2016",12:44:00,"01/06/2016 12:44:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.56","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2557100009423,-119.90204,,805.23,,"",786.67,"",,"","Reviewed","","","",6/16/2016 1:57:18 PM,204243430
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-05","MW-05","VCCE0442 MONITORING WELL MW-05","","Measurement","Consultant, Professional","08/17/2017",11:10:00,"08/17/2017 11:10:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","17.20","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2557500009423,-119.90187,,805.22,,"",788.02,"",,"","Reviewed","","","",9/18/2017 12:26:16 PM,206592941
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_15","KMW_15","FS469_KMW_15","","Measurement","Consultant, Professional","02/01/2016",17:20:00,"02/01/2016 17:20:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","10.86","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5847055555556,-120.538836111111,,1083.54,,"",1072.68,"",,"","Not Reviewed","","","",4/25/2016 2:05:17 PM,203808522
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_7","KMW_7","FS469_KMW_7","","Measurement","Consultant, Professional","11/07/2016",,"11/07/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.09","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.58505,-120.540583333333,,1091.96,,"",1079.87,"",,"","Not Reviewed","","","",12/28/2016 10:21:30 AM,205239617
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_SW-01","SW-01","VCCE0442 MONITORING WELL SW-01","","Measurement","Consultant, Professional","11/15/2016",,"11/15/2016","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","19.1","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556600009423,-119.90183,,807.91,,"",788.81,"",,"","Reviewed","","","",2/1/2017 10:29:44 AM,205497233
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-02","MW-02","VCCE0442 MONITORING WELL MW-02","","Measurement","Consultant, Professional","05/16/2017",11:36:00,"05/16/2017 11:36:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.85","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2559400009423,-119.90146,,808.21,,"",789.36,"",,"","Reviewed","","","",7/10/2017 12:11:59 PM,206363752
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-06","MW-06","VCCE0442 MONITORING WELL MW-06","","Measurement","Consultant, Professional","01/06/2016",12:40:00,"01/06/2016 12:40:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.85","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556600009423,-119.90205,,805.25,,"",786.4,"",,"","Reviewed","","","",6/16/2016 1:57:18 PM,204243415
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_MW-10","MW-10","FS469_MW-10","","Measurement","Consultant, Professional","08/16/2017",,"08/16/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5851226109535,-120.540755536279,,1092.11,,"",1081.11,"",,"","Not Reviewed","","","",10/16/2017 3:46:02 PM,206703535
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_SW-02","SW-02","VCCE0442 MONITORING WELL SW-02","","Measurement","Consultant, Professional","01/06/2016",12:06:00,"01/06/2016 12:06:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.46","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556900009423,-119.90187,,804.99,,"",786.53,"",,"","Reviewed","","","",6/16/2016 1:57:18 PM,204243426
"MRED0005","Lower Yakima Valley Groundwater Management Area Ambient Groundwater Monitoring Network","BKB739","LYV-MW-004","LYV-MW-004","BKB739","MEASUREMENT","WA Dept of Ecology","10/12/2021",14:25:00,"10/12/2021 14:25:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","64.51","ft","","","Water level accurate to +/- 0.01ft","DEPTH","Depth by measuring stick or tape","",46.4436310715373,-120.261693585906,1033.69,1033.69,,"",969.18,"",,"","Not Reviewed","","","",2/6/2022 5:45:56 PM,215044070
"VCCE0435","Ameristar No 19 (Also known as Pik a Pop No 14, Tieton Station, Tieton Smoke Shop, Maid O Clover)","VCCE0435-MW8","MW8","VCCE0435-MW8","BJZ543","Measurement","Consultant, Professional","02/01/2018",13:35:00,"02/01/2018 13:35:00","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.82","ft","","","Water level accurate to +/- 0.01ft","GWLMB","Groundwater level by analog (mechanical) recorder","",46.59253,-120.55708,,1176,,"",1164.18,"",,"","Not Reviewed","","","",9/14/2018 10:30:26 AM,208173286
