"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_MW-06","MW-06","VCCE0442 MONITORING WELL MW-06","","Measurement","Consultant, Professional","08/16/2016",11:05:00,"08/16/2016 11:05:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.12","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2556600009423,-119.90205,,805.25,,"",787.13,"",,"","Reviewed","","","",10/14/2016 11:10:27 AM,204897395
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-MW06","MW06","VCCE0304_MW06","","Measurement","Consultant, Professional","06/21/2016",,"06/21/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.00","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.608686,-120.530583,,1097.5,,"",1085.5,"",,"","Not Reviewed","","","",9/15/2016 8:49:20 AM,204789891
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-MW03","MW03","VCCE0304_MW03","","Measurement","Consultant, Professional","03/16/2016",,"03/16/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","16.70","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.608738,-120.53085,,1098.5,,"",1081.8,"",,"","Not Reviewed","","","",4/29/2016 1:30:45 PM,203883521
"CD1906","Bay Chemical, Yakima, WA","CD1906-MW-11","MW-11","MW-11","","Measurement","Consultant, Professional","06/06/2017",10:35:00,"06/06/2017 10:35:00","","","MP1","Groundwater","Water level in well (depth below top of well casing)","6.9","ft","","","Water level accurate to +/- 0.1ft","GWLMV","Groundwater level by calibrated electric tape measurement","",46.5678363,-120.4905903,1003,,-0.33,"FT",995.77,"+/- 10 ft (3 m)",7.23,"","Not Reviewed","","","",7/21/2017 1:58:56 PM,206438522
"CD1906","Bay Chemical, Yakima, WA","CD1906-MW-12","MW-12","MW-12","","Measurement","Consultant, Professional","09/06/2017",10:22:00,"09/06/2017 10:22:00","","","MP1","Groundwater","Water level in well (depth below top of well casing)","5.36","ft","","","Water level accurate to +/- 0.1ft","GWLMV","Groundwater level by calibrated electric tape measurement","",46.56672251,-120.4904509,1003,,3,"FT",1000.64,"+/- 10 ft (3 m)",2.36,"","Not Reviewed","","","",10/25/2017 2:57:21 PM,206731768
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-MW07","MW07","VCCE0304_MW07","","Measurement","Consultant, Professional","06/21/2016",,"06/21/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","11.72","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.608791,-120.530647,,1098.5,,"",1086.78,"",,"","Not Reviewed","","","",9/15/2016 8:49:20 AM,204789892
"FS469","Tiger Oil 24th Ave & W Nob Hill, Yakima, WA","FS469_KMW_6","KMW_6","FS469_KMW_6","","Measurement","Consultant, Professional","05/08/2017",,"05/08/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","8.06","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.5847777777778,-120.539388888889,,1083.58,,"",1075.52,"",,"","Not Reviewed","","","",7/5/2017 3:57:24 PM,206348910
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_RW-01","RW-01","VCCE0442 MONITORING WELL RW-01","","Measurement","Consultant, Professional","02/13/2017",,"02/13/2017","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","20.55","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558500009423,-119.9016,,808,,"",787.45,"",,"","Reviewed","","","",3/30/2017 2:40:08 PM,205911362
"VCCE0442","Site No. 0700 Grandview (Petrosun 1070), Grandview, WA","VCCE0442_RW-03","RW-03","VCCE0442 MONITORING WELL RW-03","","Measurement","Consultant, Professional","05/16/2017",11:22:00,"05/16/2017 11:22:00","","","TOC1","Groundwater","Water level in well (depth below top of well casing)","18.71","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.2558100009422,-119.9018,,806.61,,"",787.9,"",,"","Reviewed","","","",7/10/2017 12:12:00 PM,206363760
"VCCE0304","Jackpot 075, Yakima, WA","VCCE0304-IW03","IW03","VCCE0304_IW03","","Measurement","Consultant, Professional","06/21/2016",,"06/21/2016","D","","TOC1","Groundwater","Water level in well (depth below top of well casing)","12.18","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",46.6086222231638,-120.530675,1099.05,1097.5,,"FT",1085.32,"+/- 10 ft (3 m)",,"","Not Reviewed","","","",9/15/2016 8:49:20 AM,204789896
